Fecha,DViento,HAire10,HAire2,P,PLiquida,PM10,PST,RGlobal,TAire10,TAire2,VViento
2002-07-09,,,,,,,,,,,
2002-07-10,,,,,,,,,,,
2002-07-11,,,,,,,,,,,
2002-07-12,,,,,,,,,,,
2002-07-13,,,,,,,,,,,
2002-07-14,,,,,,,,,,,
2002-07-15,,,,,,,,,,,
2002-07-16,,,,,,,,,,,
2002-07-17,,,,,,,,,,,
2002-07-18,,,,,,,,,,,
2002-07-19,,,,,,,,,,,
2002-07-20,,,,,,,,,,,
2002-07-21,,,,,,,,,,,
2002-07-22,,,,,,,,,,,
2002-07-23,,,,,,,,,,,
2002-07-24,,,,,,,,,,,
2002-07-25,,,,,,,,,,,
2002-07-26,,,,,,,,,,,
2002-07-27,,,,,,,,,,,
2002-07-28,,,,,,,,,,,
2002-07-29,,,,,,,,,,,
2002-07-30,,,,,,,,,,,
2002-07-31,,,,,,,,,,,
2002-08-01,,,,,,,,,,,
2002-08-02,,,,,,,,,,,
2002-08-03,,,,,,,,,,,
2002-08-04,,,,,,,,,,,
2002-08-05,,,,,,,,,,,
2002-08-06,,,,,,,,,,,
2002-08-07,,,,,,,,,,,
2002-08-08,,,,,,,,,,,
2002-08-09,,,,,,,,,,,
2002-08-10,,,,,,,,,,,
2002-08-11,,,,,,,,,,,
2002-08-12,,,,,,,,,,,
2002-08-13,,,,,,,,,,,
2002-08-14,,,,,,,,,,,
2002-08-15,,,,,,,,,,,
2002-08-16,,,,,,,,,,,
2002-08-17,,,,,,,,,,,
2002-08-18,,,,,,,,,,,
2002-08-19,,,,,,,,,,,
2002-08-20,,,,,,,,,,,
2002-08-21,,,,,,,,,,,
2002-08-22,,,,,,,,,,,
2002-08-23,,,,,,,,,,,
2002-08-24,,,,,,,,,,,
2002-08-25,,,,,,,,,,,
2002-08-26,,,,,,,,,,,
2002-08-27,,,,,,,,,,,
2002-08-28,,,,,,,,,,,
2002-08-29,,,,,,,,,,,
2002-08-30,,,,,,,,,,,
2002-08-31,,,,,,,,,,,
2002-09-01,,,,,,,,,,,
2002-09-02,,,,,,,,,,,
2002-09-03,,,,,,,,,,,
2002-09-04,,,,,,,,,,,
2002-09-05,,,,,,,,,,,
2002-09-06,,,,,,,,,,,
2002-09-07,,,,,,,,,,,
2002-09-08,,,,,,,,,,,
2002-09-09,,,,,,,,,,,
2002-09-10,,,,,,,,,,,
2002-09-11,,,,,,,,,,,
2002-09-12,,,,,,,,,,,
2002-09-13,,,,,,,,,,,
2002-09-14,,,,,,,,,,,
2002-09-15,,,,,,,,,,,
2002-09-16,,,,,,,,,,,
2002-09-17,,,,,,,,,,,
2002-09-18,,,,,,,,,,,
2002-09-19,,,,,,,,,,,
2002-09-20,,,,,,,,,,,
2002-09-21,,,,,,,,,,,
2002-09-22,,,,,,,,,,,
2002-09-23,,,,,,,,,,,
2002-09-24,,,,,,,,,,,
2002-09-25,,,,,,,,,,,
2002-09-26,,,,,,,,,,,
2002-09-27,,,,,,,,,,,
2002-09-28,,,,,,,,,,,
2002-09-29,,,,,,,,,,,
2002-09-30,,,,,,,,,,,
2002-10-01,,,,,,,,,,,
2002-10-02,,,,,,,,,,,
2002-10-03,,,,,,,,,,,
2002-10-04,,,,,,,,,,,
2002-10-05,,,,,,,,,,,
2002-10-06,,,,,,,,,,,
2002-10-07,,,,,,,,,,,
2002-10-08,,,,,,,,,,,
2002-10-09,,,,,,,,,,,
2002-10-10,,,,,,,,,,,
2002-10-11,,,,,,,,,,,
2002-10-12,,,,,,,,,,,
2002-10-13,,,,,,,,,,,
2002-10-14,,,,,,,,,,,
2002-10-15,,,,,,,,,,,
2002-10-16,,,,,,,,,,,
2002-10-17,,,,,,,,,,,
2002-10-18,,,,,,,,,,,
2002-10-19,,,,,,,,,,,
2002-10-20,,,,,,,,,,,
2002-10-21,,,,,,,,,,,
2002-10-22,,,,,,,,,,,
2002-10-23,,,,,,,,,,,
2002-10-24,,,,,,,,,,,
2002-10-25,,,,,,,,,,,
2002-10-26,,,,,,,,,,,
2002-10-27,,,,,,,,,,,
2002-10-28,,,,,,,,,,,
2002-10-29,,,,,,,,,,,
2002-10-30,,,,,,,,,,,
2002-10-31,,,,,,,,,,,
2002-11-01,,,,,,,,,,,
2002-11-02,,,,,,,,,,,
2002-11-03,,,,,,,,,,,
2002-11-04,,,,,,,,,,,
2002-11-05,,,,,,,,,,,
2002-11-06,,,,,,,,,,,
2002-11-07,,,,,,,,,,,
2002-11-08,,,,,,,,,,,
2002-11-09,,,,,,,,,,,
2002-11-10,,,,,,,,,,,
2002-11-11,,,,,,,,,,,
2002-11-12,,,,,,,,,,,
2002-11-13,,,,,,,,,,,
2002-11-14,,,,,,,96.28397814,,,,
2002-11-15,,,,,,,,,,,
2002-11-16,,,,,,,,,,,
2002-11-17,,,,,,,,,,,
2002-11-18,,,,,,,,,,,
2002-11-19,,,,,,,,,,,
2002-11-20,,,,,,,,,,,
2002-11-21,,,,,,,,,,,
2002-11-22,,,,,,,,,,,
2002-11-23,,,,,,,,,,,
2002-11-24,,,,,,,,,,,
2002-11-25,,,,,,,,,,,
2002-11-26,,,,,,,96.35432386,,,,
2002-11-27,,,,,,,,,,,
2002-11-28,,,,,,,,,,,
2002-11-29,,,,,,,,,,,
2002-11-30,,,,,,,,,,,
2002-12-01,,,,,,,,,,,
2002-12-02,,,,,,,92.98471331,,,,
2002-12-03,,,,,,,,,,,
2002-12-04,,,,,,,,,,,
2002-12-05,,,,,,,95.72056388,,,,
2002-12-06,,,,,,,,,,,
2002-12-07,,,,,,,,,,,
2002-12-08,,,,,,,76.205516,,,,
2002-12-09,,,,,,,,,,,
2002-12-10,,,,,,,,,,,
2002-12-11,,,,,,,98.99571867,,,,
2002-12-12,,,,,,,,,,,
2002-12-13,,,,,,,,,,,
2002-12-14,,,,,,,91.60783968,,,,
2002-12-15,,,,,,,,,,,
2002-12-16,,,,,,,,,,,
2002-12-17,,,,,,,45.5403329,,,,
